Económica;Explicación;06.01;06.02;06.03;06.04;06.05;Total (miles euros);Total (euros)
3;GASTOS FINANCIEROS;29.249.153,96;637.514,96;1.100.000,00;93.422,17;195.013,00;31.275.104,09;31.275.104.090,00
30;De deuda pública en euros;29.210.853,96;—;1.100.000,00;15.975,74;155.000,00;30.481.829,70;30.481.829.700,00
31;De préstamos en euros;—;627.264,96;—;77.446,43;30.000,00;734.711,39;734.711.390,00
32;De deuda pública en moneda extranjera;38.300,00;—;—;—;10.000,00;48.300,00;48.300.000,00
33;De préstamos en moneda extranjera;—;10.250,00;—;—;6;10.256,00;10.256.000,00
35;Intereses de demora y otros gastos financieros;—;—;—;—;7;7;7.000,00
9;PASIVOS FINANCIEROS;90.986.637,89;4.091.430,14;1.000,00;2.442.643,98;25;97.521.737,01;97.521.737.010,00
90;Amortización de deuda pública en euros;90.986.637,89;—;1.000,00;—;25;90.987.662,89;90.987.662.890,00
91;Amortización de préstamos en euros;—;4.091.430,14;—;2.442.643,98;—;6.534.074,12;6.534.074.120,00
—;TOTAL CONSOLIDADO;120.235.791,85;4.728.945,10;1.101.000,00;2.536.066,15;195.038,00;128.796.841,10;128.796.841.100,00
—;TOTAL;120.235.791,85;4.728.945,10;1.101.000,00;2.536.066,15;195.038,00;128.796.841,10;128.796.841.100,00
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
