Económica;Explicación;33.302 (miles €);Total (€ reales)
1;GASTOS DE PERSONAL;2.463,70;2.463.700 €
15;Incentivos al rendimiento;200,71;200.710 €
150;Productividad;200,71;200.710 €
16200;Formación y perfeccionamiento del personal;15,24;15.240 €
16201;Economatos y comedores;10,16;10.160 €
16204;Acción social;20;20.000 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;214,68;214.680 €
202;Arrendamientos de edificios y otras construcciones;210;210.000 €
22601;Atenciones protocolarias y representativas;4,68;4.680 €
—;TOTAL PROGRAMA 921X;3.379,38;3.379.380 €
