Económica;Explicación;33.50 ;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;2.620,00;2.620,00;2.620.000,00
44;A entidades públicas estatales – INCIBE (funcionamiento y posicionamiento internacional);2.620,00;2.620,00;2.620.000,00
7;TRANSFERENCIAS DE CAPITAL;129.000,00;129.000,00;129.000.000,00
74;A entidades públicas estatales – INCIBE (programas de ayudas, impulso empresarial, formación, etc.);129.000,00;129.000,00;129.000.000,00
—;TOTAL PROGRAMA 46OG – C15.I07;131.620,00;131.620,00;131.620.000,00
