Económica;Explicación;33.50;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;2.000,00;2.000,00;2.000.000,00
44;A entidades públicas estatales – funcionamiento y actividades operativas;2.000,00;2.000,00;2.000.000,00
7;TRANSFERENCIAS DE CAPITAL;24.000,00;24.000,00;24.000.000,00
74;A entidades públicas estatales – convocatorias y proyectos de cultura digital y derechos digitales;21.000,00;21.000,00;21.000.000,00
75;A Comunidades Autónomas – impulso territorial de competencias digitales;3.000,00;3.000,00;3.000.000,00
—;TOTAL PROGRAMA 46SA – C19.I01;26.000,00;26.000,00;26.000.000,00
