Económica;Explicación;Orgánica ;Total (miles euros);Total (euros)
7;Transferencias de capital;23.50;730.000,00;730.000.000,00
74;A sociedades, entidades públicas empresariales, fundaciones y resto de entidades del sector público estatal;23.50;730.000,00;730.000.000,00
8;Activos financieros;23.50;50.000,00;50.000.000,00
82;Concesión de préstamos al sector público;23.50;50.000,00;50.000.000,00
—;TOTAL PROGRAMA C07.I01;—;780.000,00;780.000.000,00
